word,last_mentioned_on,part_of_speech,meanings
aarao,,,
ababa,,,
abaca,,substantivo masculino,"Tipo de bananeira das Filipinas que fornece uma materia textil, o canhamo-de-manilha. (Var.: avaca.) (Familia das musaceas.)."
abaci,,,
abaco,,substantivo masculino,"Prancheta retangular provida de bolas, usada para calcular. | [Arquitetura] Parte superior do capitel de uma coluna. | Matematica. | Grafico que permite a resolucao de numerosos calculos."
abada,,substantivo masculino,"Vestuario. Tipo de camisa grande e larga com mangas curtas. | Carnaval. Blusa larga ou bata solta, utilizada por pessoas que fazem parte dos blocos carnavalescos; essa blusa possibilita o reconhecimento dessas pessoas, caracterizando-as como pertencentes de um determinado grupo."
abade,,substantivo masculino,"Religioso superior de uma abadia. | Titulo dado ao superior de uma ordem religiosa, responsavel por uma abadia. | [Figurado] Homem com sobrepeso e que leva uma vida tranquila e sem preocupacoes."
abafe,,,"Abafe vem do verbo abafar. O mesmo que: agasalhe, surripie, saqueie, roube, rapine, larapie, furte, empalme, arrebate."
abafe,,,"Impedir a respiracao; sufocar, asfixiar. | Cobrir para aquecer ou conservar o calor; agasalhar, enroupar. | Impedir a propagacao; amortecer: abafar o som, o fogo."
abafo,,substantivo masculino,"Abafamento. | Roupa de agasalho. | [Figurado] Carinho, afeto."
abaja,,,
abaju,,substantivo masculino,"[Etnologia] Mestico do Brasil, produto do cruzamento entre as racas abauna e branca; caboclo, mameluco."
abala,,substantivo masculino,"[Culinaria] A mesma massa do acaraje com um camarao seco bem cozido e levada, como o aberem, ao banho-maria."
abale,,,"Abale vem do verbo abalar. O mesmo que: parta, fuja, elanguesca, enfraqueca, zarpe."
abale,,,"Mover um pouco (diz-se das coisas que estao fixas). | Fazer tremer, sacudir, tirar a seguranca. | Estremecer."
abalo,,substantivo masculino,"Acao ou efeito de abalar; tremor, estremecimento. | Perturbacao; desordem. | Abalo sismico, terremoto. | Abalo nervoso, perturbacao mental."
abane,,,"Abane vem do verbo abanar. O mesmo que: agite, sacuda, vibre."
